Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle;;;;
54N 13E;12037;ENBW WINDPARK BALTIC 2 I4;1;Y;545918;54,98833333;130934;13,15944444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12038;ENBW WINDPARK BALTIC 2 I5;1;Y;545857;54,9825;130944;13,16222222;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12039;ENBW WINDPARK BALTIC 2 I6;1;Y;545837;54,97694444;130954;13,165;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12040;ENBW WINDPARK BALTIC 2 L3;1;Y;545944;54,99555556;131123;13,18972222;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12041;ENBW WINDPARK BALTIC 2 L4;1;Y;545922;54,98944444;131134;13,19277778;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12042;ENBW WINDPARK BALTIC 2 L5;1;Y;545900;54,98333333;131143;13,19527778;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12043;ENBW WINDPARK BALTIC 2 L6;1;Y;545838;54,97722222;131154;13,19833333;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12045;ENBW WINDPARK BALTIC 2 M3;1;Y;545940;54,99444444;131205;13,20138889;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12046;ENBW WINDPARK BALTIC 2 M4;1;Y;545917;54,98805556;131217;13,20472222;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12047;ENBW WINDPARK BALTIC 2 M5;1;Y;545853;54,98138889;131228;13,20777778;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12048;ENBW WINDPARK BALTIC 2 N3;1;Y;545948;54,99666667;131242;13,21166667;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12049;ENBW WINDPARK BALTIC 2 N5;1;Y;545907;54,98527778;131301;13,21694444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12052;ENBW WINDPARK BALTIC 2 O3;1;Y;545954;54,99833333;131320;13,22222222;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12053;ENBW WINDPARK BALTIC 2 O4;1;Y;545937;54,99361111;131328;13,22444444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12055;ENBW WINDPARK BALTIC 2 I7;1;Y;545816;54,97111111;131003;13,1675;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12059;ENBW WINDPARK BALTIC 2 J3;1;Y;545947;54,99638889;131001;13,16694444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12060;ENBW WINDPARK BALTIC 2 J4;1;Y;545927;54,99083333;131010;13,16944444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12061;ENBW WINDPARK BALTIC 2 J5;1;Y;545908;54,98555556;131019;13,17194444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12062;ENBW WINDPARK BALTIC 2 J7;1;Y;545829;54,97472222;131037;13,17694444;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12065;ENBW WINDPARK BALTIC 2 K3;1;Y;545946;54,99611111;131042;13,17833333;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12066;ENBW WINDPARK BALTIC 2 K4;1;Y;545925;54,99027778;131051;13,18083333;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12067;ENBW WINDPARK BALTIC 2 K5;1;Y;545905;54,98472222;131101;13,18361111;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12068;ENBW WINDPARK BALTIC 2 K6;1;Y;545845;54,97916667;131110;13,18611111;456;456;FR/FLGR;Wind turbine;;;;
54N 13E;12069;ENBW WINDPARK BALTIC 2 K7;1;Y;545825;54,97361111;131120;13,18888889;456;456;FR/FLGR;Wind turbine;;;;
55N 12E;2;BARSEB€CK/MALM…;;Y;554439,1;55,74419444;125518,2;12,92172222;361;371;F R;Chimney;;;;
55N 12E;857;MALM…/LIMHAMN 3;;Y;553524;55,59;125545;12,92916667;394;404;F R;Chimney;;;;
55N 12E;3654;…RESUNDSBRON;;Y;553429;55,57472222;124951;12,83083333;669;669;F R/FLG W;Bridge pylon, 60 per minute;;;;
55N 12E;3960;…RESUNDSBRON;;Y;553432;55,57555556;124923;12,82305556;669;669;F R/FLG W;Bridge pylon, 60 per minute;;;;
55N 12E;4847;BARSEB€CK;;Y;554444,6;55,74572222;125548,4;12,93011111;328;336;F R;Mast;;;;
55N 12E;4848;BARSEB€CK/MALM…;;Y;554441,1;55,74475;125512,6;12,92016667;361;361;F R;Chimney;;;;
55N 12E;5245;KL…SINGE;;Y;555428;55,90777778;125905;12,98472222;335;499;F R;Wind turbine;;;;
55N 12E;5246;KL…SINGE;;Y;555429;55,90805556;125924;12,99;335;499;F R;Wind turbine;;;;
55N 12E;5247;KL…SINGE;;Y;555440;55,91111111;125910;12,98611111;335;499;F R;Wind turbine;;;;
55N 12E;5248;KL…SINGE;;Y;555440;55,91111111;125929;12,99138889;335;499;F R;Wind turbine;;;;
55N 12E;5249;KL…SINGE;;Y;555452;55,91444444;125915;12,9875;335;499;F R;Wind turbine;;;;
55N 12E;5250;KL…SINGE;;Y;555452;55,91444444;125934;12,99277778;335;502;F R;Wind turbine;;;;
55N 12E;5389;LUNDKRA;;Y;555143;55,86194444;125204;12,86777778;394;394;F R;Wind turbine;;;;
55N 12E;5390;LUNDKRA;;Y;555131;55,85861111;125155;12,86527778;394;394;F R;Wind turbine;;;;
55N 12E;6434;V. HAMNEN MALM…;;Y;553648;55,61333333;125835;12,97638889;623;636;F R;Building;;;;
55N 12E;8895;LILLGRUND;2;Y;553102;55,51722222;124812;12,80333333;377;377;FLG R;Wind turbine;;;;
55N 12E;8896;LILLGRUND;2;Y;553042;55,51166667;124743;12,79527778;377;377;FLG R;Wind turbine;;;;
55N 12E;8897;LILLGRUND;2;Y;553032;55,50888889;124728;12,79111111;377;377;F R;Wind turbine;;;;
55N 12E;8898;LILLGRUND;2;Y;553022;55,50611111;124713;12,78694444;377;377;FLG R;Wind turbine;;;;
55N 12E;8899;LILLGRUND;2;Y;553012;55,50333333;124659;12,78305556;377;377;F R;Wind turbine;;;;
55N 12E;8900;LILLGRUND;2;Y;553002;55,50055556;124644;12,77888889;377;377;F R;Wind turbine;;;;
55N 12E;8901;LILLGRUND;2;Y;553107;55,51861111;124756;12,79888889;377;377;F R;Wind turbine;;;;
55N 12E;8902;LILLGRUND;2;Y;553047;55,51305556;124727;12,79083333;377;377;F R;Wind turbine;;;;
55N 12E;8903;LILLGRUND;2;Y;553037;55,51027778;124712;12,78666667;377;377;F R;Wind turbine;;;;
55N 12E;8904;LILLGRUND;2;Y;553017;55,50472222;124643;12,77861111;377;377;F R;Wind turbine;;;;
55N 12E;8905;LILLGRUND;2;Y;553007;55,50194444;124629;12,77472222;377;377;F R;Wind turbine;;;;
55N 12E;8906;LILLGRUND;2;Y;552957;55,49916667;124614;12,77055556;377;377;FLG R;Wind turbine;;;;
55N 12E;8907;LILLGRUND;2;Y;553111;55,51972222;124741;12,79472222;377;377;FLG R;Wind turbine;;;;
55N 12E;8908;LILLGRUND;2;Y;553101;55,51694444;124726;12,79055556;377;377;F R;Wind turbine;;;;
55N 12E;8909;LILLGRUND;2;Y;553051;55,51416667;124712;12,78666667;377;377;F R;Wind turbine;;;;
55N 12E;8910;LILLGRUND;2;Y;553052;55,51444444;124757;12,79916667;377;377;F R;Wind turbine;;;;
55N 12E;8936;LILLGRUND;2;Y;553057;55,51583333;124742;12,795;377;377;F R;Wind turbine;;;;
55N 12E;8937;LILLGRUND;2;Y;553027;55,5075;124658;12,78277778;377;377;F R;Wind turbine;;;;
55N 12E;8938;LILLGRUND;2;Y;553042;55,51166667;124657;12,7825;377;377;F R;Wind turbine;;;;
