Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle
54N 13E;12038;ENBW WINDPARK BALTIC 2 I5;1;Y;545857;54,9825;130944;13,1622222222;456;456;FR/FLGR;Wind turbine
54N 13E;12039;ENBW WINDPARK BALTIC 2 I6;1;Y;545837;54,9769444444;130954;13,165;456;456;FR/FLGR;Wind turbine
54N 13E;12040;ENBW WINDPARK BALTIC 2 L3;1;Y;545944;54,9955555556;131123;13,1897222222;456;456;FR/FLGR;Wind turbine
54N 13E;12041;ENBW WINDPARK BALTIC 2 L4;1;Y;545922;54,9894444444;131134;13,1927777778;456;456;FR/FLGR;Wind turbine
54N 13E;12042;ENBW WINDPARK BALTIC 2 L5;1;Y;545900;54,9833333333;131143;13,1952777778;456;456;FR/FLGR;Wind turbine
54N 13E;12043;ENBW WINDPARK BALTIC 2 L6;1;Y;545838;54,9772222222;131154;13,1983333333;456;456;FR/FLGR;Wind turbine
54N 13E;12045;ENBW WINDPARK BALTIC 2 M3;1;Y;545940;54,9944444444;131205;13,2013888889;456;456;FR/FLGR;Wind turbine
54N 13E;12046;ENBW WINDPARK BALTIC 2 M4;1;Y;545917;54,9880555556;131217;13,2047222222;456;456;FR/FLGR;Wind turbine
54N 13E;12047;ENBW WINDPARK BALTIC 2 M5;1;Y;545853;54,9813888889;131228;13,2077777778;456;456;FR/FLGR;Wind turbine
54N 13E;12048;ENBW WINDPARK BALTIC 2 N3;1;Y;545948;54,9966666667;131242;13,2116666667;456;456;FR/FLGR;Wind turbine
54N 13E;12049;ENBW WINDPARK BALTIC 2 N5;1;Y;545907;54,9852777778;131301;13,2169444444;456;456;FR/FLGR;Wind turbine
54N 13E;12052;ENBW WINDPARK BALTIC 2 O3;1;Y;545954;54,9983333333;131320;13,2222222222;456;456;FR/FLGR;Wind turbine
54N 13E;12053;ENBW WINDPARK BALTIC 2 O4;1;Y;545937;54,9936111111;131328;13,2244444444;456;456;FR/FLGR;Wind turbine
54N 13E;12055;ENBW WINDPARK BALTIC 2 I7;1;Y;545816;54,9711111111;131003;13,1675;456;456;FR/FLGR;Wind turbine
54N 13E;12059;ENBW WINDPARK BALTIC 2 J3;1;Y;545947;54,9963888889;131001;13,1669444444;456;456;FR/FLGR;Wind turbine
54N 13E;12060;ENBW WINDPARK BALTIC 2 J4;1;Y;545927;54,9908333333;131010;13,1694444444;456;456;FR/FLGR;Wind turbine
54N 13E;12061;ENBW WINDPARK BALTIC 2 J5;1;Y;545908;54,9855555556;131019;13,1719444444;456;456;FR/FLGR;Wind turbine
54N 13E;12062;ENBW WINDPARK BALTIC 2 J7;1;Y;545829;54,9747222222;131037;13,1769444444;456;456;FR/FLGR;Wind turbine
54N 13E;12065;ENBW WINDPARK BALTIC 2 K3;1;Y;545946;54,9961111111;131042;13,1783333333;456;456;FR/FLGR;Wind turbine
54N 13E;12066;ENBW WINDPARK BALTIC 2 K4;1;Y;545925;54,9902777778;131051;13,1808333333;456;456;FR/FLGR;Wind turbine
54N 13E;12067;ENBW WINDPARK BALTIC 2 K5;1;Y;545905;54,9847222222;131101;13,1836111111;456;456;FR/FLGR;Wind turbine
54N 13E;12068;ENBW WINDPARK BALTIC 2 K6;1;Y;545845;54,9791666667;131110;13,1861111111;456;456;FR/FLGR;Wind turbine
54N 13E;12069;ENBW WINDPARK BALTIC 2 K7;1;Y;545825;54,9736111111;131120;13,1888888889;456;456;FR/FLGR;Wind turbine
55N 12E;2;BARSEBÄCK/MALMÖ;;Y;554439,1;55,7441944444;125518,2;12,9217222222;361;371;F R;Chimney
55N 12E;857;MALMÖ/LIMHAMN 3;;Y;553524;55,59;125545;12,9291666667;394;404;F R;Chimney
