Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
55N 14E	9978	GÄRSNÄS	553133N	0141127E	410	541	FLG R	Wind turbine				
55N 14E	9979	GÄRSNÄS	553144N	0141123E	410	541	FLG R	Wind turbine				
55N 14E	9980	GÄRSNÄS	553155N	0141119E	410	558	FLG R	Wind turbine				
55N 14E	9981	GÄRSNÄS	553107N	0141053E	410	541	FLG R	Wind turbine				
55N 14E	9982	GÄRSNÄS	553118N	0141051E	410	548	FLG R	Wind turbine				
55N 14E	9983	GÄRSNÄS	553146N	0141203E	410	541	FLG R	Wind turbine				
55N 14E	9984	GÄRSNÄS	553159N	0140842E	410	591	FLG R	Wind turbine				
55N 14E	9985	GÄRSNÄS	553148N	0140853E	410	594	FLG R	Wind turbine				
55N 14E	9986	GÄRSNÄS	553156N	0140908E	410	587	FLG R	Wind turbine				
55N 14E	10701	BORRBY	552815N	0141128E	328	486	FLG R	Wind turbine				
55N 14E	12104	TAGGEN VINDPARK	555222N	0143110E	328	328	F R	Mast				
56N 12E	25	HALMSTAD/OSKARSTRÖM	564723.	N 012561	1066	1523	F R/FLG W	Mast				
56N 12E	26	HÄLSINGBORG	560044N	0124247E	400	423	F R	Chimney				
56N 12E	27	HÄLSINGBORG/OLYMPIA	560312N	0124229E	361	492	F R	Mast				
56N 12E	750	HELSINGBORG 2	560206N	0124141E	394	404	F R	Chimney				
56N 12E	5977	KÄRRET	565952N	0122903E	328	390	F R	Wind turbine				
56N 12E	7623	LÖNHULT	561110N	0124213E	328	351	F R	Wind turbine				
56N 12E	8732	LÅNGÅS	565947N	0122825E	410	469	F R	Wind turbine				
56N 12E	8785	LÅNGÅS	565943N	0122759E	410	469	F R	Wind turbine				
56N 12E	8786	LÅNGÅS	565934N	0122810E	410	469	F R	Wind turbine				
56N 12E	8787	LÅNGÅS	565937N	0122833E	410	476	F R	Wind turbine				
56N 12E	9265	MIDDELGRUND	563347N	0120621E	394	394	F R	Mast				
56N 12E	9394	LINDHULT	565655N	0122759E	459	509	FLG R	Wind turbine				
56N 12E	9395	LINDHULT	565647N	0122815E	459	509	FLG R	Wind turbine				
56N 12E	9396	LINDHULT	565638N	0122831E	459	505	FLG R	Wind turbine				
56N 12E	9397	LINDHULT	565629N	0122848E	459	509	FLG R	Wind turbine				
56N 12E	10019	TORUP	565513N	0125906E	492	1040	FLG R	Wind turbine				
56N 12E	10020	TORUP	565526N	0125910E	492	1093	FLG R	Wind turbine				
56N 12E	10021	TORUP	565539N	0125905E	492	1079	FLG R	Wind turbine				
56N 12E	10022	TORUP	565554N	0125857E	492	1102	FLG R	Wind turbine				
56N 12E	10141	ÅRSTAD	565457N	0124443E	394	830	F R	Mast				
56N 12E	10600	VESSIGEBRO	565747N	0124439E	492	974	FLG R	Wind turbine				
56N 12E	10601	VESSIGEBRO	565753N	0124506E	492	961	FLG R	Wind turbine				
56N 12E	10602	VESSIGEBRO	565756N	0124540E	492	925	FLG R	Wind turbine				
56N 12E	10603	VESSIGEBRO	565810N	0124606E	492	873	FLG R	Wind turbine				
56N 12E	10604	VESSIGEBRO	565809N	0124528E	492	860	FLG R	Wind turbine				
56N 12E	10605	VESSIGEBRO	565806N	0124458E	492	883	FLG R	Wind turbine				
56N 12E	11231	BJÖRSERED	565954N	0125041E	335	778	F R	Mast				
56N 12E	11245	VESSIGEBRO	565958N	0124216E	492	863	FLG R	Wind turbine				
56N 12E	11250	VESSIGEBRO	565940N	0124359E	492	965	FLG R	Wind turbine				
56N 12E	11251	VESSIGEBRO	565954N	0124348E	492	869	FLG R	Wind turbine				
56N 12E	11436	FYLLINGE	563923N	0125939E	476	728	FLG R	Wind turbine				
56N 12E	11437	FYLLINGE	563903N	0125946E	476	719	FLG R	Wind turbine				
56N 12E	11503	VESSIGEBRO	565754N	0124706E	489	886	FLG R	Wind turbine				
56N 12E	11504	VESSIGEBRO	565822N	0124723E	489	873	FLG R	Wind turbine				
